dis_name,instagram_link,short_info,region,founded,owner,status,website,open_for_visits,capacity,types,cereals,water,longitude,latitude,url
Glenfyne / Glendarroch / Glenglip,,,"Highlands, United Kingdom",1831,Henry Hoey & Co.,demolished,-,No,,unknown,,,-5.4478,56.02202,https://whiskey-map.com/distillery/glenfyne-glendarroch-glenglip/1264
Glenlochy,,,"Highlands, United Kingdom",1898,Diageo,demolished,-,No,,"blended, single malt",,,-5.09386,56.82253,https://whiskey-map.com/distillery/glenlochy/1270
Glenmore,,,"Kentucky, United States",1849,Sazerac Company,closed,en.wikipedia.org/wiki/Glenmore_Distillery_Company,No,,bourbon,corn,,-87.08717,37.77846,https://whiskey-map.com/distillery/glenmore/1273
Glenugie,,,"Highlands, United Kingdom",1831,,demolished,en.wikipedia.org/wiki/Glenugie_distillery,No,,single malt,,Wellington Spring,-1.79436,57.48754,https://whiskey-map.com/distillery/glenugie/1281
Glenury Royal,,,"Highlands, United Kingdom",1825,Diageo,demolished,-,No,,single malt,barley,River Cowie,-2.21455,56.97236,https://whiskey-map.com/distillery/glenury-royal/1282
Glina,,,"Brandenburg, Germany",-,-,operational,glina-destillerie.de,Yes,,"single malt, rye","barley, rye",local source,12.88497,52.34838,https://whiskey-map.com/distillery/glina/1284
Gooderham & Worts,,,"Ontario, Canada",1869,,closed,www.pc.gc.ca/apps/dfhd/page_nhs_eng.aspx?id=539,Yes,,canadian,,,-79.36019,43.65042,https://whiskey-map.com/distillery/gooderham-worts/1293
Filliers,https://www.instagram.com/filliers_distillery,,"East Flanders, Belgium",1880,,operational,filliersdistillery.com,Yes,,single malt,,,3.54448,50.9911,https://whiskey-map.com/distillery/filliers/1299
Griffo,https://www.instagram.com/griffodistillery,,"California, United States",2015,,operational,griffodistillery.com,Yes,,"bourbon, rye","barley, rye, corn",,-122.6644,38.27049,https://whiskey-map.com/distillery/griffo/1322
Grythyttan,,,"Örebro, Sweden",2007,,closed,-,No,,single malt,,,15.04379,59.51912,https://whiskey-map.com/distillery/grythyttan/1326
Gulf Coast Distillers,https://www.instagram.com/gianttexasdistillers,,"Texas, United States",2014,,operational,gianttexas.com,Yes,,"bourbon, rye",,,-95.31066,29.76182,https://whiskey-map.com/distillery/gulf-coast-distillers/1329
Hamilton Distillers,https://www.instagram.com/whiskeydelbac,,"Arizona, United States",2011,,operational,www.whiskeydelbac.com,Yes,,"single malt, bourbon, rye",,,-110.99228,32.24835,https://whiskey-map.com/distillery/hamilton-distillers/1346
Hardenberg,https://www.instagram.com/hardenbergdistillery,,"Lower Saxony, Germany",1700,,operational,hardenbergdistillery.com,Yes,,single malt,barley,,9.94463,51.63417,https://whiskey-map.com/distillery/hardenberg/1351
Altstadthof,https://www.instagram.com/hausbrauerei.altstadthof,,"Bavaria, Germany",1984,-,operational,hausbrauerei-altstadthof.de,No,,"blended, single malt",barley,,11.07489,49.45705,https://whiskey-map.com/distillery/altstadthof/1358
Helios,https://www.instagram.com/japan_helios,,"Kyushu, Japan",-,-,operational,-,No,,unknown,,,127.96216,26.53738,https://whiskey-map.com/distillery/helios/1370
Hellyers Road,https://www.instagram.com/hellyersroaddistillery,,"Tasmania, Australia",1997,,operational,hellyersroaddistillery.com.au,Yes,,single malt,,,145.90925,-41.08879,https://whiskey-map.com/distillery/hellyers-road/1371
J. Henry & Sons,https://www.instagram.com/jhenrybourbon,,"Wisconsin, United States",2008,-,operational,jhenryandsons.com,Yes,,"bourbon, rye","barley, rye, corn, wheat",,-89.41816,43.28446,https://whiskey-map.com/distillery/j-henry-sons/1373
Heritage Distilling Co.,https://www.instagram.com/heritagedistilling,,"Washington, United States",2011,Justin & Jennifer Stiefel,operational,heritagedistilling.com,Yes,,"blended, bourbon, rye",,,-122.58232,47.31056,https://whiskey-map.com/distillery/heritage-distilling-co/1377
HighGlen Whisky,https://www.instagram.com/highglenag,,"Grisons, Switzerland",-,-,operational,highglen.ch,Yes,,single malt,barley,,10.42222,46.60099,https://whiskey-map.com/distillery/highglen-whisky/1386
Highland,,,"Campbeltown, United Kingdom",1827,McLennan & Grant,demolished,-,No,,unknown,,,-5.60796,55.43039,https://whiskey-map.com/distillery/highland/1387
Highwood Distillers,https://www.instagram.com/highwooddistill,,,,,operational,www.highwood-distillers.com,Not at the moment,,"rye, canadian",rye,,-113.86726,50.57412,https://whiskey-map.com/distillery/highwood-distillers/1390
Hillrock Estate,https://www.instagram.com/hillrockestatedistillery,,"New York, United States",1806,Jeff Baker,operational,www.hillrockdistillery.com,Yes,,"single malt, bourbon, rye",,,-73.62464,42.02474,https://whiskey-map.com/distillery/hillrock-estate/1392
Hinch,https://www.instagram.com/hinchdistillery,,"Northern Ireland, United Kingdom",-,-,operational,www.hinchdistillery.com,Yes,,"single malt, irish, single grain",barley,,-5.90473,54.46096,https://whiskey-map.com/distillery/hinch/1393
Hoffman / Old Commonwealth,,,"Kentucky, United States",1880,,closed,-,No,,bourbon,,,-84.97469,38.01064,https://whiskey-map.com/distillery/hoffman-old-commonwealth/1400
Hogback,,,"Colorado, United States",2016,,operational,www.hogbackdistillery.com,Yes,,"bourbon, rye",,,-105.22916,40.0182,https://whiskey-map.com/distillery/hogback/1401
Hollen,,,"Basel-Country, Switzerland",1999,Bader Family,operational,www.single-malt.ch,No,,single malt,,,7.67316,47.39119,https://whiskey-map.com/distillery/hollen/1403
Holy Ghost,https://www.instagram.com/holyghostdistillery,,"Pennsylvania, United States",2016,,operational,www.holyghostdistillery.com,Yes,,"bourbon, rye",,,-75.66497,41.08771,https://whiskey-map.com/distillery/holy-ghost/1406
Hood River Distillers Inc.,https://www.instagram.com/hoodriverdistillers,,"Oregon, United States",1934,,operational,www.hrdspirits.com,Yes,,"bourbon, rye, canadian",,,-121.51363,45.70912,https://whiskey-map.com/distillery/hood-river-distillers-inc/1411
Humbel,,,"Aargau, Switzerland",1918,-,operational,www.humbel.ch,Yes,,"blended, single malt",,,8.30366,47.40043,https://whiskey-map.com/distillery/humbel/1417
Hven,https://www.instagram.com/spiritofhven,,"Skåne, Sweden",2008,,operational,www.hven.com/,Yes,,"blended, single malt, rye",,,12.69559,55.91633,https://whiskey-map.com/distillery/hven/1419
Imperial,,,,,Pernod-Ricard,demolished,en.wikipedia.org/wiki/Imperial_distillery,No,,single malt,,,-3.30033,57.45509,https://whiskey-map.com/distillery/imperial/1423
Invergordon,,,,,Whyte and MacKay,operational,www.whyteandmackayltd.com/our-locations/invergordon/,No,40.000.000 l.,"blended, single malt","barley, corn, wheat",Loch Glass,-4.15493,57.69362,https://whiskey-map.com/distillery/invergordon/1431
Inverleven,,,"Lowlands, United Kingdom",1938,Allied Distillers Ltd,closed,-,No,,single malt,,,-4.56668,55.94216,https://whiskey-map.com/distillery/inverleven/1432
Iron Fish,https://www.instagram.com/ironfishdistillery,,,,,operational,ironfishdistillery.com,Yes,,"bourbon, rye","barley, rye, corn",,-86.01459,44.49936,https://whiskey-map.com/distillery/iron-fish/1434
Ironbridge Spirit Company,,,"West Midlands, United Kingdom",2007,,closed,-,No,,moonshine,,,-2.52079,52.70079,https://whiskey-map.com/distillery/ironbridge-spirit-company/1438
J. Carver,https://www.instagram.com/jcarverdistillery,,"Minnesota, United States",2012,,operational,www.jcarverdistillery.com,Yes,,"single malt, bourbon, rye",,,-93.80448,44.83574,https://whiskey-map.com/distillery/j-carver/1454
J. Rieger & Co.,https://www.instagram.com/jriegerco,,"Missouri, United States",1887,,operational,www.jriegerco.com,Yes,,"bourbon, rye",,,-94.5489,39.11956,https://whiskey-map.com/distillery/j-rieger-co/1455
Jim Beam,https://www.instagram.com/jimbeamofficial,,,,,operational,www.jimbeam.com,Yes,,bourbon,corn,,-85.65246,37.93111,https://whiskey-map.com/distillery/jim-beam/1465
Jos. A. Magnus & Co.,https://www.instagram.com/josamagnus,,"Michigan, United States",2015,,operational,josephmagnus.com/,No,,bourbon,,,-86.07869,42.80301,https://whiskey-map.com/distillery/jos-a-magnus-co/1475
Journeyman,https://www.instagram.com/journeymandistillery,,"Michigan, United States",2011,,operational,www.journeyman.com,Yes,,"single malt, bourbon, rye",,,-86.61148,41.8029,https://whiskey-map.com/distillery/journeyman/1477
Kaerilis,,,"Bretagne, France",2007,,operational,kaeriliswhisky.com,No,,"blended, single malt",,,-3.15563,47.34466,https://whiskey-map.com/distillery/kaerilis/1478
Kalkwijck,https://www.instagram.com/lisanne_kalkwijck_distillery,,"Overijssel, Netherlands",-,,operational,www.kalkwijckdistillers.nl,Yes,,single malt,,,6.60672,52.46725,https://whiskey-map.com/distillery/kalkwijck/1482
Kampen,https://www.instagram.com/zeeuwse.dranken,,"Zeeland, Netherlands",2001,,operational,www.kampendrinks.com,No,,single malt,,,4.09376,51.66589,https://whiskey-map.com/distillery/kampen/1483
Kanosuke,https://www.instagram.com/kanosukedistillery,,,,,operational,kanosuke.com,Yes,,single malt,,,130.33563,31.60294,https://whiskey-map.com/distillery/kanosuke/1484
Kentucky Peerless Distilling Co.,https://www.instagram.com/kentuckypeerless,,"Kentucky, United States",1889,,operational,kentuckypeerless.com,Yes,,"bourbon, rye",,,-85.76645,38.25854,https://whiskey-map.com/distillery/kentucky-peerless-distilling-co/1496
Kimbland,https://www.instagram.com/kimbland_distillery,,"Highlands, United Kingdom",-,,operational,kimblanddistillery.com,No,,single malt,,,-2.45785,59.28318,https://whiskey-map.com/distillery/kimbland/1509
Kimerud,https://www.instagram.com/kimerud_as,,"Viken, Norway",-,,operational,www.kimerud.no,Yes,,single malt,,,10.25688,59.81266,https://whiskey-map.com/distillery/kimerud/1510
Kinclaith,,,"Lowlands, United Kingdom",1957,-,closed,-,No,,single malt,,Loch Katrine,-4.24081,55.84833,https://whiskey-map.com/distillery/kinclaith/1511
Kings County,https://www.instagram.com/kingscountydistillery,,"New York, United States",2010,,operational,www.kingscountydistillery.com,Yes,,"blended, single malt, bourbon, rye, moonshine",,,-73.98017,40.69964,https://whiskey-map.com/distillery/kings-county/1514
Kinloch,,,"Campbeltown, United Kingdom",1823,Duncan MacCallum,demolished,-,No,,unknown,,,-5.60835,55.42693,https://whiskey-map.com/distillery/kinloch/1517
Klein Amerika,,,"Gelderland, Netherlands",2018,Benny Lamers & Robert Janssen,operational,kleinamerika-distillery.nl,No,,single malt,,,5.92467,51.75625,https://whiskey-map.com/distillery/klein-amerika/1522
Knaplund,https://www.instagram.com/knaplund_destilleri,,"Midtjylland, Denmark",2015,Karl Povlsen & Mathilde Ingvardsen,operational,knaplund.dk,Yes,,"bourbon, rye, moonshine",,,8.78969,55.88254,https://whiskey-map.com/distillery/knaplund/1527
Ko'olau,https://www.instagram.com/koolaudistillery,,"Hawaii, United States",2018,,operational,www.koolaudistillery.com,Yes,,"bourbon, moonshine",corn,,-157.77176,21.39562,https://whiskey-map.com/distillery/koolau/1532
Koval,https://www.instagram.com/kovaldistillery,,"Illinois, United States",2008,DRs. Sonat & Robert Birnecker,operational,www.koval-distillery.com/,Yes,,"bourbon, rye",,,-87.67359,41.95899,https://whiskey-map.com/distillery/koval/1542
Kozuba & Sons,https://www.instagram.com/kozubadistillery,,"Florida, United States",2005,,operational,www.kozubadistillery.com,Yes,,"bourbon, rye",,,-82.65987,27.76629,https://whiskey-map.com/distillery/kozuba-sons/1543
Kuju,https://www.instagram.com/kuju_distillery,,"Kyushu, Japan",2021,,operational,kujudistillery.jp,No,,unknown,,,131.29739,33.0217,https://whiskey-map.com/distillery/kuju/1546
Kymsee Whisky,,,"Bavaria, Germany",2012,-,operational,www.kymsee-whisky.de,Yes,,single malt,barley,Steinweiher spring,12.54183,47.85067,https://whiskey-map.com/distillery/kymsee-whisky/1551
Kyrö Distillery Company,https://www.instagram.com/kyrodistillery,,"Ostrobothnia, Finland",2014,,operational,www.kyrodistillery.com,Yes,50.000 l.,rye,,,22.35307,62.9844,https://whiskey-map.com/distillery/kyro-distillery-company/1552
La Fabrique à Alcools,https://www.instagram.com/lafabriqueaalcools,,"Île-de-France, France",2017,,operational,www.lafabriqueaalcools.com,No,,single malt,,,2.02159,48.65091,https://whiskey-map.com/distillery/la-fabrique-a-alcools/1554
Ladyburn,,,"Lowlands, United Kingdom",1966,William Grant & Sons Ltd.,demolished,-,No,,single malt,,,-4.8336,55.26076,https://whiskey-map.com/distillery/ladyburn/1556
Lake George Distilling Co.,https://www.instagram.com/lakegeorgedistillingco,,"New York, United States",2012,,operational,www.lgdisco.com,Yes,,"bourbon, rye, moonshine",,,-73.50256,43.41325,https://whiskey-map.com/distillery/lake-george-distilling-co/1561
Lamas,https://www.instagram.com/casa.lamas,,"Minas Gerais, Brazil",2019,,operational,lamasdestilaria.com.br,No,48000 l.,"blended, single malt",,,-44.05357,-19.57728,https://whiskey-map.com/distillery/lamas/1563
Langatun,https://www.instagram.com/langatun_distillery,,"Bern, Switzerland",1857,,operational,www.langatun.ch,Yes,,single malt,barley,,7.76526,47.24436,https://whiskey-map.com/distillery/langatun/1565
Lantenhammer,https://www.instagram.com/lantenhammer_destillerie,,"Bavaria, Germany",1928,-,operational,www.lantenhammer.de,Yes,,single malt,barley,,11.83057,47.76184,https://whiskey-map.com/distillery/lantenhammer/1567
Las Vegas,,,"Nevada, United States",2011,,in renovation,www.lasvegasdistillery.com,Not at the moment,,"bourbon, rye",,,-115.01919,36.05469,https://whiskey-map.com/distillery/las-vegas/1570
Last Mountain,https://www.instagram.com/lmdistillery,,"Saskatchewan, Canada",2010,Colin and Meredith Schmidt,operational,lastmountaindistillery.com,No,,"rye, canadian",,,-104.86315,50.65437,https://whiskey-map.com/distillery/last-mountain/1571
Laws Whiskey House,https://www.instagram.com/lawswhiskey,,"Colorado, United States",2011,,operational,www.lawswhiskeyhouse.com,Yes,,"bourbon, rye",,,-104.98853,39.6907,https://whiskey-map.com/distillery/laws-whiskey-house/1580
Limestone Branch,https://www.instagram.com/limestonebranch,,"Kentucky, United States",2010,-,operational,limestonebranch.com/,Yes,,"single malt, bourbon, rye","barley, rye, corn",,-85.27188,37.58173,https://whiskey-map.com/distillery/limestone-branch/1591
Lion Spirit,,,"Limassol, Cyprus",-,,operational,www.lionspirit.eu,Yes,,single malt,,,32.83724,34.87621,https://whiskey-map.com/distillery/lion-spirit/1593
Litchfield,https://www.instagram.com/litchfielddistillery,,"Connecticut, United States",2014,,operational,litchfielddistillery.com,Yes,,"bourbon, rye",,,-73.22174,41.72571,https://whiskey-map.com/distillery/litchfield/1594
Littlemill,https://www.instagram.com/littlemillmalt,,"Lowlands, United Kingdom",1772,,closed,-,No,750 l.,"single malt, pure malt",,,-4.49641,55.93152,https://whiskey-map.com/distillery/littlemill/1597
Lobangernich,https://www.instagram.com/lobangernich,,"Bavaria, Germany",2014,Alban Weilhöfer,operational,www.lobangernich.de,No,,single malt,"barley, wheat",,10.23461,49.94433,https://whiskey-map.com/distillery/lobangernich/1600
Loch Brewery & Distillery,https://www.instagram.com/lochbrewery,,"Victoria, Australia",2014,,operational,www.lochbrewery.com.au,Yes,,single malt,,,145.70746,-38.36909,https://whiskey-map.com/distillery/loch-brewery-distillery/1602
Lochruan Distillery,,,"Campbeltown, United Kingdom",1833,James Buchanan & Co.,demolished,-,No,,unknown,,,-5.60344,55.42854,https://whiskey-map.com/distillery/lochruan-distillery/1608
Lochside,,,"West Highlands, United Kingdom",1957,Pernod-Ricard,demolished,-,No,,single malt,,,-2.46429,56.72997,https://whiskey-map.com/distillery/lochside/1609
Lonely Oak,https://www.instagram.com/lonelyoakdistillery,,"Iowa, United States",2013,Pat & Amy Hoffmann,operational,www.lonelyoakdistillery.com,Yes,,bourbon,,,-95.47949,41.77111,https://whiskey-map.com/distillery/lonely-oak/1618
Long Road Distillers,https://www.instagram.com/longroadgr,,"Michigan, United States",2014,,operational,longroaddistillers.com,Yes,,"bourbon, rye",,,-85.68148,42.98515,https://whiskey-map.com/distillery/long-road-distillers/1623
Longhorn,https://www.instagram.com/longhorndistillery,,"Bavaria, Germany",-,,operational,www.longhorndistillery.de,No,,"single malt, bourbon, rye, moonshine",,,11.66709,49.81622,https://whiskey-map.com/distillery/longhorn/1624
Lossit,,,"Islay, United Kingdom",1821,,operational,-,No,,unknown,,,-6.13301,55.8135,https://whiskey-map.com/distillery/lossit/1632
Lough Gill,https://www.instagram.com/athruwhiskey,,"Connacht, Ireland",2019,-,operational,www.athru.com/distillery,No,,"single malt, irish",barley,,-8.43329,54.25563,https://whiskey-map.com/distillery/lough-gill/1639
Lough Mask,https://www.instagram.com/loughmaskdistillery,,"Connacht, Ireland",2018,-,operational,www.loughmaskdistillery.com,Yes,,"single malt, irish",barley,,-9.44403,53.61169,https://whiskey-map.com/distillery/lough-mask/1640
M&H,https://www.instagram.com/milkandhoney_distillery,,"Tel Aviv, Israel",2015,,operational,mh-distillery.com,Yes,170000 l.,single malt,,,34.7633,32.04999,https://whiskey-map.com/distillery/mh/1651
Mad River Distillers,https://www.instagram.com/madriverdistillers,,"Vermont, United States",2011,,operational,www.madriverdistillers.com,Yes,,bourbon,,,-72.83833,44.18426,https://whiskey-map.com/distillery/mad-river-distillers/1657
Maison Du Vigneron,,,"Bourgogne-Franche-Comté, France",-,,operational,en.maisonduvigneron.com,No,,single malt,,,5.66758,46.68854,https://whiskey-map.com/distillery/maison-du-vigneron/1665
Malibreiz,,,"Bretagne, France",1991,,closed,-,,,single malt,,,-1.61204,48.08196,https://whiskey-map.com/distillery/malibreiz/1669
Malt Mill,,,"Islay, United Kingdom",1908,Peter Mackie,closed,-,No,,single malt,,,-6.12692,55.63559,https://whiskey-map.com/distillery/malt-mill/1670
Manatawny Still Works,https://www.instagram.com/manatawnystillworks,,"Pennsylvania, United States",2013,,operational,www.manatawnystillworks.com,Yes,,"bourbon, moonshine",,,-75.66781,40.26433,https://whiskey-map.com/distillery/manatawny-still-works/1672
Manifest Distilling,https://www.instagram.com/manifestdistilling,,"Florida, United States",2015,,operational,www.manifestdistilling.com,Yes,,rye,,,-81.64485,30.32381,https://whiskey-map.com/distillery/manifest-distilling/1673
MB Roland,https://www.instagram.com/mbrolanddistillery,,"Kentucky, United States",2009,,operational,mbroland.com/,Yes,,"bourbon, rye, moonshine",,,-87.39178,36.6984,https://whiskey-map.com/distillery/mb-roland/1688
Holladay / McCormick Distilling Co.,https://www.instagram.com/holladay1856,,"Missouri, United States",1856,,operational,mccormickdistilling.com,Yes,,"blended, bourbon, rye",,,-94.87812,39.39846,https://whiskey-map.com/distillery/holladay-mccormick-distilling-co/1691
McHenry,https://www.instagram.com/mchenry_distillery,,,,,operational,mchenrydistillery.com.au,Yes,,single malt,barley,,147.80467,-43.15498,https://whiskey-map.com/distillery/mchenry/1693
Mellwood,,,"Kentucky, United States",1865,,demolished,brokensidewalk.com/2014/mellwood-bourbon,No,,bourbon,,,-85.7179,38.25867,https://whiskey-map.com/distillery/mellwood/1698
Merlet & Fils,,,"Nouvelle-Aquitaine, France",1850,,operational,www.distillerie-merlet.com,No,,unknown,barley,,-0.50781,45.73436,https://whiskey-map.com/distillery/merlet-fils/1699
Middle West Spirits,https://www.instagram.com/middlewestspirits,,"Ohio, United States",2008,Brady Konya & Ryan Lang,operational,middlewestspirits.com,Yes,,"bourbon, rye, moonshine",,,-83.00455,39.98752,https://whiskey-map.com/distillery/middle-west-spirits/1705
Millburn,,,,,Distillers Company Ltd.,demolished,-,No,,single malt,barley,Loch Duntelchaig,-4.2047,57.48244,https://whiskey-map.com/distillery/millburn/1709
Minhas,https://www.instagram.com/minhasdistillery,,"Wisconsin, United States",2006,,operational,minhasdistillery.com,Yes,,"rye, moonshine",,,-89.64116,42.59928,https://whiskey-map.com/distillery/minhas/1713
Minsk Grape Wines Factory,,,"Brest, Belarus",2000,,operational,mzvv.by,No,,"blended, bourbon",,,23.65067,52.14155,https://whiskey-map.com/distillery/minsk-grape-wines-factory/1714
Mississippi River Distilling Company,https://www.instagram.com/mrdistilling,,"Iowa, United States",2010,,operational,www.mrdistilling.com,Yes,,"bourbon, rye",,,-90.34344,41.59972,https://whiskey-map.com/distillery/mississippi-river-distilling-company/1716
Miyashita / Okayama,,,"Chugoku, Japan",2012,,operational,www.msb.co.jp,No,,single malt,,,133.94006,34.67898,https://whiskey-map.com/distillery/miyashita-okayama/1720
Mosgaard Whisky,https://www.instagram.com/mosgaardwhisky,,"Syddanmark, Denmark",2016,Gitte & Jes Mosgaard,operational,mosgaardwhisky.dk,Yes,145000 l.,single malt,,,10.75349,55.11772,https://whiskey-map.com/distillery/mosgaard-whisky/1738
Mountain Laurel Spirits,https://www.instagram.com/dadshatrye,,"Pennsylvania, United States",2015,"Mountain Laurel Spirits, LLC / Herman C. Mihalich",operational,dadshatrye.com,Yes,,"rye, moonshine",,,-74.85192,40.10384,https://whiskey-map.com/distillery/mountain-laurel-spirits/1746
Mwórveld,https://www.instagram.com/mworveld,,"Limburg, Netherlands",2017,,operational,www.mworvelddistillery.com,Yes,,irish,,,5.76077,50.91395,https://whiskey-map.com/distillery/mworveld/1757
Myken,https://www.instagram.com/mykendest,,"Nordland, Norway",2014,Myken Destilleri AS,operational,www.mykendestilleri.no,Yes,,single malt,,,12.47779,66.76093,https://whiskey-map.com/distillery/myken/1759
Mykulynetsky Brovar,https://www.instagram.com/mykulynbrovar,,"Ternopil, Ukraine",-,,operational,brovar.org,Not at the moment,,single malt,,,25.60344,49.39482,https://whiskey-map.com/distillery/mykulynetsky-brovar/1760
Mystic Farm & Distillery,https://www.instagram.com/mysticfarmdistillery,,"North Carolina, United States",2015,,operational,www.whatismystic.com,Yes,,"bourbon, rye, moonshine",,,-78.80573,35.99851,https://whiskey-map.com/distillery/mystic-farm-distillery/1761
Mystic Mountain,https://www.instagram.com/mysticmountaindistillery,,"Colorado, United States",2004,,operational,www.mmdistillery.com,Yes,,"bourbon, moonshine",,,-104.98319,39.91709,https://whiskey-map.com/distillery/mystic-mountain/1762
Nagahama,https://www.instagram.com/nagahama_distillery,,,,-,operational,www.romanbeer.com/article/nagahama-distillery-tour,Yes,,"blended, single malt",barley,,136.26779,35.37697,https://whiskey-map.com/distillery/nagahama/1764
Nant,,,"Tasmania, Australia",2008,,closed,nant.com.au,No,,single malt,,,147.01791,-42.35536,https://whiskey-map.com/distillery/nant/1767
Nantou,,,"Taiwan, Taiwan, Province of China",-,,operational,en.ttl.com.tw,No,,single malt,,,120.70564,23.9196,https://whiskey-map.com/distillery/nantou/1768
Nashoba Valley Spirits,https://www.instagram.com/nashoba_valley_spirits,,"Massachusetts, United States",2003,,operational,nashobaspirits.com,No,,"single malt, rye","barley, rye",,-71.61641,42.43022,https://whiskey-map.com/distillery/nashoba-valley-spirits/1769
Nearest Green,https://www.instagram.com/unclenearest,,,,-,operational,unclenearest.com,Yes,,"bourbon, rye",,,-86.44395,35.57827,https://whiskey-map.com/distillery/nearest-green/1771
Nelson's Green Brier,https://www.instagram.com/nelsonsgreenbrier,,,,Charlie & Andy Nelson,operational,greenbrierdistillery.com,Yes,,"bourbon, rye","barley, rye, corn, wheat",,-86.79816,36.16359,https://whiskey-map.com/distillery/nelsons-green-brier/1773
Nestville,https://www.instagram.com/nestville.park,,"Prešov, Slovakia",2001,-,operational,www.nestville.sk/distillery/?lang=en,Yes,,"blended, single malt",barley,,20.63886,49.30131,https://whiskey-map.com/distillery/nestville/1775
Nevada H&C Distilling Co.,https://www.instagram.com/smokewagonwhiskey,,"Nevada, United States",2010,,operational,www.nevadadistilling.com,No,,"bourbon, rye",,,-115.14726,36.17623,https://whiskey-map.com/distillery/nevada-hc-distilling-co/1776
New Holland Brewing,,,"Michigan, United States",1997,,operational,www.newhollandbrew.com,Yes,,"bourbon, rye",,,-86.10419,42.79004,https://whiskey-map.com/distillery/new-holland-brewing/1783
New Liberty,https://www.instagram.com/new_liberty_distillery,,"Pennsylvania, United States",2015,,operational,newlibertydistillery.com,Yes,,"bourbon, rye",,,-75.14059,39.97377,https://whiskey-map.com/distillery/new-liberty/1784
New Riff Distilling,https://www.instagram.com/newriff,,"Kentucky, United States",2014,,operational,newriffdistilling.com,Yes,,"bourbon, rye",,,-84.48901,39.10074,https://whiskey-map.com/distillery/new-riff-distilling/1785
New York Distilling Company,https://www.instagram.com/nydistilling,,"New York, United States",2011,,operational,www.nydistilling.com,Yes,,rye,,,-73.94873,40.71856,https://whiskey-map.com/distillery/new-york-distilling-company/1787
Nishinomiya,,,"Kansai, Japan",1963,Nikka Whisky Distilling Co. Ltd.,closed,-,No,,"blended, single malt, single grain",,,135.36187,34.73789,https://whiskey-map.com/distillery/nishinomiya/1796
Nordisk Brænderi,https://www.instagram.com/nordiskbraenderi,,"Nordjylland, Denmark",-,Anders Bilgram,operational,nordiskbraenderi.dk,Yes,,single malt,,,9.37624,57.13054,https://whiskey-map.com/distillery/nordisk-brnderi/1802
Norrtelje,https://www.instagram.com/norrtaljebranneri,,"Stockholms, Sweden",2001,-,operational,www.norrtaljebranneri.se,Yes,,unknown,barley,,18.57097,59.80879,https://whiskey-map.com/distillery/norrtelje/1805
North British,,,"Lowlands, United Kingdom",1885,-,operational,thenorthbritish.co.uk,No,70.000.000 l.,blended,barley,,-3.23631,55.93919,https://whiskey-map.com/distillery/north-british/1807
North of Scotland,,,"Lowlands, United Kingdom",1957,-,demolished,-,No,,single grain,,,-4.57564,55.97133,https://whiskey-map.com/distillery/north-of-scotland/1809
North Port,,,"Highlands, United Kingdom",1820,-,demolished,-,No,,single malt,barley,River South Esk,-2.65985,56.73514,https://whiskey-map.com/distillery/north-port/1811
Northoff,,,"North Rhine-Westphalia, Germany",-,-,operational,www.northoff-fb.de,No,,,,,8.04969,51.6513,https://whiskey-map.com/distillery/northoff/1815
Number Nine,,,"Thuringia, Germany",2010s,-,operational,www.number-nine.eu,No,,single malt,barley,,10.35228,51.42607,https://whiskey-map.com/distillery/number-nine/1817
Nyborg,https://www.instagram.com/nyborgdestilleri,,"Syddanmark, Denmark",2009,,operational,nyborgdestilleri.com,Yes,,single malt,,,10.79693,55.30745,https://whiskey-map.com/distillery/nyborg/1819
Oak and Grist,https://www.instagram.com/oakandgrist,,"North Carolina, United States",2015,,operational,www.oakandgrist.com,Yes,,"single malt, bourbon, rye",,,-82.36112,35.60777,https://whiskey-map.com/distillery/oak-and-grist/1824
Oceanside Distillers,https://www.instagram.com/Oceanside.Distillers,,"California, United States",2017,,operational,www.oceansidedistillers.com,Yes,,"bourbon, rye",,,-117.33597,33.20114,https://whiskey-map.com/distillery/oceanside-distillers/1832
Ohishi,,,"Kyushu, Japan",-,,operational,www.ohishi-shuzohjyo.jp,No,,unknown,,,130.98809,32.29665,https://whiskey-map.com/distillery/ohishi/1837
Okanagan Spirits,https://www.instagram.com/okanaganspirits,,"British Columbia, Canada",2004,,operational,okanaganspirits.com,Yes,,"rye, canadian",,,-119.26365,50.28459,https://whiskey-map.com/distillery/okanagan-spirits/1838
Old 55 Distillery,,,"Indiana, United States",-,,operational,old55distillery.com,Yes,,"bourbon, moonshine",,,-87.14522,40.2041,https://whiskey-map.com/distillery/old-55-distillery/1839
Old Comber,,,"Ulster, Ireland",1825,,closed,www.comberhistory.com/chs%20whiskey.htm,No,,irish,,,-5.74468,54.54906,https://whiskey-map.com/distillery/old-comber/1842
Old Crow,,,"Kentucky, United States",1830s,,closed,abandonedonline.net/location/old-crow-distillery,No,,"bourbon, moonshine",,,-84.84124,38.14642,https://whiskey-map.com/distillery/old-crow/1843
Old Dominick,https://www.instagram.com/OldDominick,,"Tennessee, United States",2017,,operational,olddominick.com,Yes,,"blended, bourbon",,,-90.0582,35.1384,https://whiskey-map.com/distillery/old-dominick/1844
Old Elk,https://www.instagram.com/oldelkbourbon,,"Colorado, United States",2013,Curt Richardson,operational,www.oldelk.com,Yes,,"blended, bourbon, rye","barley, rye, corn, wheat",,-105.07464,40.58891,https://whiskey-map.com/distillery/old-elk/1845
